pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
94.0625,-86.92,180.0,bottom,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
179.4425,-88.3125,-90.0,bottom,C10,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
80.65,-115.98,90.0,bottom,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
87.74,-117.25,-90.0,bottom,C12,,,CP_Radial_D8.0mm_P3.50mm,220uF,tht
111.46,-87.9875,-90.0,bottom,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
142.82,-107.49,90.0,bottom,C14,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
155.49625,-110.89875,0.0,bottom,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,330nF,smt
171.64,-123.78,-90.0,bottom,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
182.23,-103.92,0.0,bottom,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
158.937621,-122.49,0.0,bottom,C5,,,CP_Radial_D6.3mm_P2.50mm,100uF,tht
172.0,-103.58,90.0,bottom,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
154.80625,-107.30625,90.0,bottom,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,220nF,smt
189.47,-124.85,-90.0,bottom,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10nF,smt
178.91,-123.95,180.0,bottom,C9,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
131.7525,-111.55,0.0,bottom,D1,,,D_SOD-123,1N4148W,smt
98.21,-120.39,0.0,bottom,D2,,,D_SOD-123,SS12,smt
152.92,-120.57,180.0,top,J1,,,Altech_AK100_1x02_P5.00mm,12VDC/1A,tht
98.4,-87.02,0.0,top,J2,,,PinHeader_1x08_P2.54mm_Vertical,RGB TFT Display,tht
135.2175,-120.8075,180.0,top,J3,,,Altech_AK100_1x02_P5.00mm,FAN(s),tht
117.4,-120.73,180.0,top,J4,,,Altech_AK100_1x02_P5.00mm,SSR,tht
187.9625,-80.8625,-90.0,bottom,J5,,,TerminalBlock_MetzConnect_Type171_RT13702HBWC_1x02_P7.50mm_Horizontal,Type-K,tht
133.3625,-107.76,-90.0,bottom,Q1,,,SOT-23,AO3400A,smt
117.42,-109.1675,-90.0,bottom,Q2,,,SOT-23,MMBT3904,smt
171.64,-119.65,-90.0,bottom,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
111.8,-91.39,0.0,bottom,R10,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
98.01,-122.7,0.0,bottom,R11,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,0R,smt
171.93,-107.67,90.0,bottom,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
170.81,-116.17,0.0,bottom,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
170.88,-111.19,0.0,bottom,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
133.3025,-104.12,0.0,bottom,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
192.15,-120.44,90.0,bottom,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
192.15,-124.8725,-90.0,bottom,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
115.41,-105.62,180.0,bottom,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
113.38,-111.88,180.0,bottom,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
175.04,-111.18,0.0,top,SW1,,,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,RotaryEncoder_Switch,tht
177.23,-103.25,0.0,bottom,U1,,,SOT-353_SC-70-5_Handsoldering,74AUP1G14,smt
106.9625,-87.97,180.0,bottom,U2,,,SOT-23-5,LP2981-3.3,smt
183.86,-124.61,180.0,bottom,U3,,,SOT-353_SC-70-5_Handsoldering,74AUP1G14,smt
177.305,-83.3375,180.0,bottom,U4,,,SOIC-8_3.9x4.9mm_P1.27mm,MAX6675,smt
63.56,-81.69,180.0,bottom,U5,,,esp32_devkit_v1_doit,ESP32_DevKit_V1_DOIT,smt
148.64625,-108.51625,180.0,bottom,U6,,,SOT-223-3_TabPin2,AMS1117-5.0,smt
